geoid,pm25_Val,MEAN_Af_HI,MEAN_TEMP,MEAN_HEAT_INDEX,CMAQ_NO2,CMAQ_O3,CMAQ_PM25,proportionA,proportionB,proportionC,proportionD,proportionCorD,primary_grade_4levels,primary_grade_3levels,HPRICETIER,VULNERABLE,CHANGE,VUL_PRICE,overcrowded_total,median_rent,median_home_value,cost_burdened_total,percentage_foreign_born,average_household_size,percentage_family_households,percentage_four_year_degree_or_higher_total,pop_density (sq.mi.),number_children,number_seniors,percentage_seniors,percentage_children,percentage_overcrowding,cost_burdened_owners_renters,simpson,specCt,uniqSp,ndvi,acs_population,svi_pecentile,trees_n,trees_area,trees_den,trees_crown_den,zip_code,asthma_5yr_avg,asthma_age_adj_rate,urban_flood_suscep,heatisl,nn_q3_pm2_5,logtraf,city_property_tot,hardship,pct_white,pct_black,pct_nativeam,pct_asian,pct_other,prop_comm,prop_plndev,prop_resdntl,CLRRt,AdAsthRt,PhysRate,LngCncRt,CancerRt,HypRt,logtrafScld,pct_pacis,pct_hisp,aland,awater,intptlat,intptlon,commarea_n,community
17031030603,,91.65144946,81.82186039,85.6179021,14.29850006,33.1583252,9.696641922,0,0,1,0,1,C,CD,High-cost,1,Rising,"Vulnerable, Prices Rising",82,848,277500,647,36.35961027,2,26.14840989,50.2849905,50415.495,285,178,7.883082374,12.62178919,5.795053,45.72438,0.5,2,2,0.163127,2258,43.3,270,13621,0.002328,11.7,60660,46,83.2,8.3,29,10.7,4.7,0,26.7,53.3,28.8,1.8,12.8,3.3,0,0,0,24.5,6.8,16.8,58.56366957,537.1287363,30.5,69.1176470588235,0,17,116000,0,+41.9854762,-087.6583979,77,EDGEWATER
17031700200,9.698345025,99.67389091,84.46187538,89.33570656,16.93084417,29.83851086,11.06242189,,,,,,,,Moderate-cost,0,Not_Rising,0,92,1124,155100,794,27.04127749,3.58,83.31545064,17.36593498,10651.54731,1962,545,8.210304309,29.55709551,4.935622,42.59657,0,1,1,0.291185,6638,69,3207,185005,0.001987,11.5,"60652,60629",348.25,93.9,10,94.8,10.5,5.7,1,24.6,30.9,16.1,0.8,2.1,50.1,0,0,1,36.5,4.9,36.7,78.34265681,549.7035559,27.9,83.8235294117647,0,70,1614071,0,+41.7529893,-087.7237840,70,ASHBURN
17031030900,9.582235336,95.17938186,82.76596975,86.648531,14.92019034,32.46900877,10.15385723,0,0,1,0,1,C,CD,High-cost,0,Rising,0,0,1320,387800,363,22.70499837,2.35,43.58422939,61.65865385,19397.23277,320,296,9.67004247,10.45409997,0,26.02151,0.926,18,15,0.270008,3061,17.6,1220,83938,0.002985,20.5,"60660,60640",84.25,93.8,8.7,44.7,10.6,5.5,2,15,73.2,11.9,0.2,11.1,3.7,0,1,1,24.5,6.8,16.8,58.56366957,537.1287363,30.5,80.8823529411765,0,11.6,408716,0,+41.9797951,-087.6714454,77,EDGEWATER
17031030400,9.578496933,93.09479657,81.60964052,85.31746527,14.31704807,32.78271484,9.814434052,0,0,1,0,1,C,CD,High-cost,1,Rising,"Vulnerable, Prices Rising",32,909,331500,476,28.96979086,2.11,38.9441469,61.38253638,19300.50328,350,338,13.09062742,13.55538342,2.448355,36.41928,0.8,5,5,0.297339,2582,56,1047,73017,0.003022,21.1,60660,46,83.2,8.7,44.5,10.5,5.6,0,20.5,81,3.7,1,6.5,7.8,0,0,0,24.5,6.8,16.8,58.56366957,537.1287363,30.5,82.3529411764706,0,32.2,346486,0,+41.9869515,-087.6720788,77,EDGEWATER
17031030706,9.311522802,91.88475375,81.26442998,84.97769932,12.54027402,34.82139821,8.841219991,,,,,,,,High-cost,1,Rising,"Vulnerable, Prices Rising",50,1005,245700,967,32.82103825,1.54,28.03784861,59.10623946,19321.58619,239,885,30.22540984,8.162568306,2.49004,48.15737,0.874,33,19,0.406921,2928,64.9,1152,67944,0.002935,17.3,"60660,60640",84.25,93.8,8.4,25.4,10.5,5.8,0,18.6,62.5,17.8,0,18.4,1.3,0,0,0,24.5,6.8,16.8,58.56366957,537.1287363,30.5,85.2941176470588,0,7.2,392488,175618,+41.9804151,-087.6509155,77,EDGEWATER
17031031200,9.401444912,95.50743188,82.89609989,87.43046009,15.60051111,31.8327624,10.10935125,0,0,1,0,1,C,CD,High-cost,1,Rising,"Vulnerable, Prices Rising",251,782,289700,1139,33.24911572,1.99,42.03216374,45.3688029,47099.38167,1213,497,8.371231262,20.43119421,9.173977,41.63012,0.939,21,18,0.172778,5937,91.9,636,25321,0.001948,7.8,60640,84.25,93.8,8.4,32,10.2,5.1,2,34.2,59.1,20.6,0.6,10.5,8.9,0,0,2,36.7,7.2,20,71.52594163,585.2687034,28,75,0.4,23.2,326475,0,+41.9727092,-087.6573410,3,UPTOWN
17031031300,9.346213102,95.29968145,82.15386526,86.34224709,14.68213433,32.72519383,9.957259453,,,,,,,,High-cost,1,Rising,"Vulnerable, Prices Rising",220,956,164100,1630,32.75907417,1.8,31.15676204,50.26729034,31151.49074,989,1630,21.43608627,13.00631247,5.380289,39.86305,0.95,20,20,0.403265,7604,77.7,2122,158588,0.003356,25.1,60640,84.25,93.8,8.5,25.3,10.3,5.9,0,23.9,56.4,20.9,0.2,19.8,2.8,0,0,0,36.7,7.2,20,71.52594163,585.2687034,28,86.7647058823529,0,11,632210,466785,+41.9737646,-087.6465298,3,UPTOWN
17031030604,9.337665558,86.74989808,79.78972591,82.84301613,11.56508148,35.75997205,8.392651236,0,0.263114,0.263339,0,0.263339,C,CD,High-cost,1,Rising,"Vulnerable, Prices Rising",151,1029,170900,921,36.27392344,1.41,27.94739314,51.85512367,43676.97905,333,678,20.27511962,9.958133971,7.092532,43.25975,0.969,77,46,0.279801,3344,65,522,25797,0.002632,13,60660,46,83.2,8.4,26.7,10.8,5.4,0,28.3,48.2,23,0,24.7,4.2,0,0,0,24.5,6.8,16.8,58.56366957,537.1287363,30.5,79.4117647058824,0,6,198295,89530,+41.9858707,-087.6524546,77,EDGEWATER
17031031400,9.324975332,97.5744943,82.64381281,87.300722,14.88598725,32.83026562,9.561734713,,,,,,,,High-cost,1,Rising,"Vulnerable, Prices Rising",79,1191,208600,1056,16.5464661,1.66,31.01160862,76.17481203,8439.825734,230,990,20.39975273,4.739336493,2.620232,35.02488,0.992,1944,370,0.448229,4853,35.6,4443,290111,0.002983,19.5,"60640,60613",36.75,67.1,8.7,23,10.4,6.2,1,13.2,69.7,10.2,0.1,14.5,5.5,1,0,0,36.7,7.2,20,71.52594163,585.2687034,28,91.1764705882353,0,6.6,1489275,1040213,+41.9584475,-087.6424095,3,UPTOWN
17031031100,9.53263998,96.20288188,83.02090899,87.40485858,15.55958625,31.87172796,10.11300061,0,0,0.742767,0,0.742767,C,CD,High-cost,0,Rising,0,11,1228,354700,670,18.48191342,1.96,33.72243839,65.57878633,23824.71505,515,601,11.87981815,10.17987745,0.475573,28.96671,0.935,20,18,0.335784,5059,43.3,1617,109526,0.00294,19.9,60640,84.25,93.8,8.4,34.5,10.7,0,1,15.2,72.6,2,0,8.2,17.2,0,0,1,36.7,7.2,20,71.52594163,585.2687034,28,0,0,20.8,549965,0,+41.9726684,-087.6638662,3,UPTOWN
