geoid,HeathDeath_Percent,leadPoisonR,ndvi,treesN10,treeCrwDn,socvlnIndx,hrdshpIndx,urbanFlood,surfcTemp,trafficVol,nnetPM25,chAsthmaED,chAsthma17,pop18,whiteP18,blackP18,amIndP18,asianP18,hispP18,other18,chldren18,senior18,zipCode,comArea,comAreaNm,plantDivrs,plantTotl,plantSpec,redLined,mdRent18,mdHome18,frgnBrn18,hhldSize18,fmHhld18,college18,popDens18,ovrcwdHs18,costBurd18,hsngSuscp,hsngVuln,hsngChng,dsplcPresr,chwAirTemp,chwHeatAve,chwHeatMax,eclipsPM25,lungCRt17,physRt17,adAsthma17,cancerRt17,hyptRt17
17031051400,3.68,0.655737705,0.316819,1345,27.6,8.9,12.8,9,75.8,4.2,10.7,172.25,82.6,,82.2,3.8,,6.7,8,7.3,22.04899777,4.064587973,"60618,60647",5,NORTH CENTER,0.852,18,13,C,1686,460800,12.86191537,2.45,52.44215938,72.51732102,13433.00722,0.771208,27.7635,High-cost,0,Rising,0,84.13133531,88.93476221,99.49359959,10.3283596,51.16240717,15.7,5.6,449.2207631,20.1
17031070700,3.68,0.108342362,0.199047,1663,11.3,31.3,15.8,9.3,73.4,5.8,10.6,30.5,40.2,,77,10.7,,9,12.3,3.3,22.91666667,3.815543071,"60614,60647",7,LINCOLN PARK,0.923,13,13,,1659,493800,9.480337079,2.57,49.35294118,75.89314451,17113.06843,3.235294,24.29412,High-cost,0,Not_Rising,0,84.22816932,88.79986593,98.93811446,10.33633733,74.09476278,11.6,8.2,606.7016718,21
17031222500,3.68,0.524590164,0.279309,637,22.5,59.7,23.9,9.5,75.9,3.9,10.5,190.75,98.5,,87.8,3.6,,0.6,56.8,8,19.79405034,4.405034325,60647,22,LOGAN SQUARE,0.5,2,2,D,1225,347900,20.42334096,3.57,65.46489564,49.70711297,28589.75788,1.13852,36.24288,High-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",84.18652192,88.5981642,98.70020929,9.898740768,39.04862757,18.7,10.5,402.5999424,26.5
17031221300,3.68,0.524590164,0.263018,1157,21.9,55.6,25.8,9.5,76.4,4,10.5,190.75,98.5,,81,4.3,,3.6,37.2,11.1,10.39325843,6.144662921,60647,22,LOGAN SQUARE,0.928,31,22,C,1131,459400,25.31601124,2.41,41.44486692,55.4973822,22345.35637,5.247148,37.49049,High-cost,0,Rising,0,83.89181853,88.24637036,98.62392723,10.05386162,39.04862757,18.7,10.5,402.5999424,26.5
17031221600,3.68,0.524590164,0.271426,1163,23.7,1.1,5.7,9.4,75.7,5.3,10.7,190.75,98.5,,84.1,6.9,,4.9,16.8,4.1,16.64540816,4.336734694,60647,22,LOGAN SQUARE,0.975,165,72,D,1714,625000,7.461734694,2.3,50.38924275,79.10685805,24796.47278,0,28.09625,High-cost,0,Not_Rising,0,84.34682608,88.95379311,99.56919033,10.22917461,39.04862757,18.7,10.5,402.5999424,26.5
17031222200,3.68,0.524590164,0.258452,795,20.6,10.6,8.7,9.3,73.6,5.1,10.7,190.75,98.5,,82.7,4.9,,7.2,12.4,5.2,18.01437556,3.504043127,60647,22,LOGAN SQUARE,0.911,13,12,D,1956,583300,10.06289308,2.63,44.11111111,82.06896552,24950.09278,0,31.11111,High-cost,0,Rising,0,84.25278147,88.84785043,99.82902829,10.20873022,39.04862757,18.7,10.5,402.5999424,26.5
17031832200,3.68,0.524590164,0.243692,1224,18.5,7.5,6.9,9.5,76.1,6,10.6,190.75,98.5,,84.6,1.2,,2.5,14.6,11.7,19.09394953,1.672240803,60647,22,LOGAN SQUARE,0.973,110,58,D,1402,613800,7.965947096,2.39,39.10690122,81.53967007,21310.09761,0.67659,27.0636,High-cost,0,Rising,0,84.62300398,89.15876244,99.63954314,10.28199387,39.04862757,18.7,10.5,402.5999424,26.5
17031832400,3.68,0.524590164,0.243981,950,16.9,13.4,10.2,9.5,71.1,4.5,10.6,190.75,98.5,,82.3,4,,5.4,29.3,8.3,16.62277814,4.443712969,60647,22,LOGAN SQUARE,0.86,10,8,D,1722,353200,21.16524029,2.58,50.37783375,69.41176471,24356.49362,3.106633,27.45592,High-cost,0,Not_Rising,0,84.37171153,88.90881304,99.70176294,10.00837167,39.04862757,18.7,10.5,402.5999424,26.5
17031221500,3.68,0.524590164,0.266885,1210,25,27.1,27.1,9.5,75.1,0,10.7,190.75,98.5,,83,7.1,,7,24.3,2.8,13.78454996,12.65060241,60647,22,LOGAN SQUARE,0.889,9,9,D,1104,473900,20.65910702,2.81,40.1509434,58.2867784,23971.40002,0.679245,33.35849,High-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",84.38118751,89.02144288,99.8468303,10.15960073,39.04862757,18.7,10.5,402.5999424,26.5
17031222700,3.68,0.524590164,0.318272,779,23,68.6,21,9.6,81.5,4.5,10.8,190.75,98.5,,81.6,7.9,,1.2,57,7.9,24.00487409,6.783103168,60647,22,LOGAN SQUARE,0.889,9,9,D,1177,273800,17.2623883,2.46,57.71084337,39.76683938,28348.43568,6.144578,39.87952,High-cost,1,Rising,"Vulnerable, Prices Rising",84.13885622,88.61825485,98.63768164,9.771893024,39.04862757,18.7,10.5,402.5999424,26.5
17031230100,3.68,2.532327586,0.306337,599,22,59.8,22.3,9.5,76.6,4.3,10.5,190.75,98.5,,55.1,16.4,,3.8,47.2,24.7,22.18506132,3.790412486,60647,23,HUMBOLDT PARK,0.825,19,12,D,1064,370900,15.4960981,3.33,44.07051282,40,27933.40183,3.525641,46.3141,High-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",83.54406877,87.95368185,97.73234215,9.688070297,49.74493888,39.8,17.1,467.9023783,23.2
