sensor_name,pm_25,latitude,longitude
California & Cermak (NB),11.162462165099548,41.8523,-87.6954
California & Cermak (SB),11.395829124930465,41.8524,-87.6952
California & Devon (SB),8.117905336875662,41.99772,-87.69975
Central & Madison (NB),11.311703663150416,41.8803,-87.7647
Central & Prescott (SB),9.943527458238968,41.9924,-87.7654
Central Park & Ogden (NB),11.646621137180095,41.85428611,-87.71498343
Cermak & Ashland (WB),10.627029896966045,41.852038,-87.666366
Chicago & Cicero (EB),38.29668221276576,41.894893,-87.746056
Chicago & Hudson (WB),11.230526358416087,41.896633,-87.639691
Chicago & Sacramento (EB),9.792987278,41.8954,-87.7022
Cicero & Hubbard (NB),10.67769254,41.8879,-87.7455
Clarendon & Montrose (SB),8.895398362567759,41.961992,-87.649994
Clark & 15th (NB),10.26467456793829,41.861773,-87.630143
Commercial & 85 (NB),9.416008164147174,41.7414,-87.5513
Commercial & 89th (SB),10.70611450186506,41.733871,-87.551448
Cottage & 113th (SB),7.438293378,41.6889,-87.6107
Cottage & 53rd (NB),9.263192953,41.7985,-87.6062
Cottage Grove & 100th (NB),9.856870213528227,41.7132,-87.605
Cottage Grove & 60th (SB),10.385827197445964,41.78594896,-87.60616027
Cottage Grove & 83rd (SB),9.213648170176024,41.7438,-87.6052
Cottage Grove & Pershing (SB),8.269924640138191,41.824096,-87.607116
Damen & Webster (SB),10.166250119577574,41.921581,-87.6779
Division & Larrabee (EB),10.168547186063291,41.903627,-87.643443
EPA COM ED Maintenance Bldg C,9.006016499603392,41.7516,-87.71349
EPA COM ED Maintenance Bldg D,9.069437595172383,41.7514,-87.713488
EPA COM ED Maintenance Bldg E,10.002790351036996,41.7512,-87.71349
EPA Springfield Pump Station B,9.311020360214249,41.91274,-87.722674
EPA Springfield Pump Station C,9.108816715353523,41.912741,-87.722675
EPA Springfield Pump Station E,9.973106684234265,41.912739,-87.722673
EPA Village Garage B,8.869535478313587,41.670993,-87.732458
EPA Village Garage C,8.937558577699276,41.670994,-87.732459
EPA Village Garage D,9.210259557039686,41.670992,-87.732457
Fullerton & Pulaski (WB),10.212142409009989,41.924611,-87.726561
Garfield & Aberdeen (WB),10.768392084857393,41.79449287,-87.65276975
Grand & Laramie (EB),11.028427374853708,41.9169,-87.756
Halsted & 74th St (SB),11.017927607440292,41.759507,-87.644385
Halsted & 87th (SB),11.77876982604191,41.7359,-87.6437
Harrison & Central (WB),10.376386869923298,41.87288,-87.764879
Irving & Clark (EB),9.933104688,41.954291,-87.662438
Irving Park & Kildare (EB),10.147603559285379,41.9533,-87.7354
Jackson & Wabash (EB),10.246771998061128,41.87836775,-87.62542392
Kedzie & 24th (SB),11.161559880300528,41.8488,-87.7052
Kedzie & 53rd (SB),10.766608519269408,41.7968,-87.7038
Kedzie & Lake (NB),8.822642652772707,41.8838,-87.706
Kimball & Ardmore (SB),9.241291209078206,41.9861,-87.7139
King Drive & 25th St (SB),10.357210360828468,41.847228,-87.617824
Lake Shore & Briar (SB),9.340614710176258,41.93892,-87.63806
Laramie & Lake (NB),11.731103649254722,41.8867,-87.7551
Laramie & Madison (SB),10.686266296345883,41.880092,-87.754947
Lincoln & California (NWB),9.678915892626732,41.98592,-87.699628
Madison & Hamlin (WB),10.16249780348345,41.8811,-87.7214
Madison & Loomis (WB),8.337300685100947,41.881625,-87.66205
Madison & Wood (WB),9.724343029623537,41.881471,-87.672189
Nargansett & Montrose (SB),11.245962192951813,41.9592,-87.7868
Northwest Highway & Devon (NWB),9.561387521988589,41.997534,-87.807554
Peterson & Wolcott (EB),9.984329937560798,41.990623,-87.677257
"Polk & L ""Above"" (WB)",11.42134559777066,41.871645,-87.66986
Pulaski & 49th (SB),11.686754761640943,41.8049,-87.7236
Pulaski & 71st (SB),11.845335332423884,41.76428,-87.722565
Roosevelt & Homan (WB),11.972188757146073,41.866448,-87.710325
Roosevelt & Western (WB),11.220623832246147,41.866741,-87.685757
Sheridan & Hollywood (SB),8.908939023970598,41.985095,-87.655334
Sheridan & Irving Park (NB),9.581386046045084,41.95479,-87.65447
Sheridan & Touhy (SB),9.266958627,42.013052,-87.663438
South Shore & 77th (NB),10.620548685826506,41.7577,-87.554
State & 31st St (NB),9.601700456507794,41.838137,-87.626522
State & 83rd (NB),11.179070124036217,41.7435,-87.6242
State & Garfield (NB),9.573667599604155,41.7955,-87.6255
State & Garfield (SB),10.049528716357775,41.794921,-87.625857
Vincennes & 75th (NB),9.415028576206849,41.75841,-87.63108
Washington & Garland(Wabash) (EB),8.603869810225666,41.883142,-87.625628
Western & 26th ST (SB),11.496111636357062,41.8454,-87.6854
Western & 41st (SB),11.037468882863084,41.81935577,-87.68461474
Western & 73rd (NB),10.957625432943273,41.7609,-87.6827
Western Ave & 43rd St (SB),11.635265520631071,41.815867,-87.684764
EPA COM ED Maintenance Bldg F,9.291720328282825,41.7512,-87.71349
EPA Cicero C,10.06058561014753,41.855243,-87.75247
